query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
query1.2,60,1,ZSTD,274877906944,64,0,2836595711,4030693376,1452.39
#[INFO ] Res size 12
query1.3,60,1,ZSTD,274877906944,64,0,2836595711,4030693376,1368.58
#[INFO ] Res size 7
query2.1,60,1,ZSTD,274877906944,64,0,5279473897,7377145856,2515.58
#[INFO ] Res size 7
query2.2,60,1,ZSTD,274877906944,64,0,5279473897,7377145856,3075.92
#[INFO ] Res size 7
query2.3,60,1,ZSTD,274877906944,64,0,5279473897,7377145856,3038.85
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/gzip/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 12
query1.1,60,1,GZIP,274877906944,64,0,3057175486,5885321216,1905.74
#[INFO ] Res size 12
query1.2,60,1,GZIP,274877906944,64,0,3057175510,5885321216,1624.32
#[INFO ] Res size 12
query1.3,60,1,GZIP,274877906944,64,0,3057175512,5885321216,1585.14
#[INFO ] Res size 7
query2.1,60,1,GZIP,274877906944,64,0,5784900927,8599498752,2833.72
#[INFO ] Res size 7
query2.2,60,1,GZIP,274877906944,64,0,5784900933,8599498752,3477.26
#[INFO ] Res size 7
query2.3,60,1,GZIP,274877906944,64,0,5784900933,8599498752,3392.41
#[INFO ] Res size 12
query1.1,60,1,GZIP,274877906944,64,0,3057175518,5885321216,1792.1
#[INFO ] Res size 12
query1.2,60,1,GZIP,274877906944,64,0,3057175518,5885321216,1620.74
#[INFO ] Res size 12
query1.3,60,1,GZIP,274877906944,64,0,3057175518,5885321216,1578.43
#[INFO ] Res size 7
query2.1,60,1,GZIP,274877906944,64,0,5784900933,8599498752,2894.87
#[INFO ] Res size 7
query2.2,60,1,GZIP,274877906944,64,0,5784900933,8599498752,3443.87
#[INFO ] Res size 7
query2.3,60,1,GZIP,274877906944,64,0,5784900935,8599498752,3358.74
#[INFO ] Res size 12
query1.1,60,1,GZIP,274877906944,64,0,3057175520,5885321216,1765.8
#[INFO ] Res size 12
query1.2,60,1,GZIP,274877906944,64,0,3057175520,5885321216,1700.01
#[INFO ] Res size 12
query1.3,60,1,GZIP,274877906944,64,0,3057175520,5885321216,1546.16
#[INFO ] Res size 7
query2.1,60,1,GZIP,274877906944,64,0,5784900937,8599498752,2902.78
#[INFO ] Res size 7
query2.2,60,1,GZIP,274877906944,64,0,5784900937,8599498752,3414.5
#[INFO ] Res size 7
query2.3,60,1,GZIP,274877906944,64,0,5784900937,8599498752,3409.67
#[INFO ] Res size 12
query1.1,60,1,GZIP,274877906944,64,0,3057175522,5885321216,1767.08
#[INFO ] Res size 12
query1.2,60,1,GZIP,274877906944,64,0,3057175522,5885321216,1590.86
#[INFO ] Res size 12
query1.3,60,1,GZIP,274877906944,64,0,3057175522,5885321216,1571.29
#[INFO ] Res size 7
query2.1,60,1,GZIP,274877906944,64,0,5784900937,8599498752,2896.75
#[INFO ] Res size 7
query2.2,60,1,GZIP,274877906944,64,0,5784900937,8599498752,3456.95
#[INFO ] Res size 7
query2.3,60,1,GZIP,274877906944,64,0,5784900941,8599498752,3466.08
#[INFO ] Res size 12
query1.1,60,1,GZIP,274877906944,64,0,3057175526,5885321216,1877.58
#[INFO ] Res size 12
query1.2,60,1,GZIP,274877906944,64,0,3057175526,5885321216,1671.51
#[INFO ] Res size 12
query1.3,60,1,GZIP,274877906944,64,0,3057175526,5885321216,1567.5
#[INFO ] Res size 7
query2.1,60,1,GZIP,274877906944,64,0,5784900941,8599498752,2939.96
#[INFO ] Res size 7
query2.2,60,1,GZIP,274877906944,64,0,5784900941,8599498752,3468.07
#[INFO ] Res size 7
query2.3,60,1,GZIP,274877906944,64,0,5784900941,8599498752,3440.31
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/uncompressed/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,274877906944,64,0,9250297876,13856354304,2803.97
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,274877906944,64,0,9250297902,13856350208,2811.52
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,274877906944,64,0,9250297904,13856350208,2842.05
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,274877906944,64,0,18500595574,25980739584,5385.4
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,274877906944,64,0,18500595578,25980739584,5516.11
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,274877906944,64,0,18500595578,25980739584,5562.15
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,274877906944,64,0,9250297910,13856350208,2852.34
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,274877906944,64,0,9250297910,13856350208,2798.51
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,274877906944,64,0,9250297912,13856350208,2775.76
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,274877906944,64,0,18500595582,25980739584,5251.84
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,274877906944,64,0,18500595582,25980739584,5509.18
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5495.49
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2861.77
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2841.5
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2821.65
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5368.63
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5539.72
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5517.1
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2831.78
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2795.18
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,274877906944,64,0,9250297914,13856350208,2791.56
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5327.69
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,274877906944,64,0,18500595584,25980739584,5513.72
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,274877906944,64,0,18500595586,25980739584,5491.83
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,274877906944,64,0,9250297916,13856350208,2836.19
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,274877906944,64,0,9250297916,13856350208,2826.79
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,274877906944,64,0,9250297916,13856350208,2749.74
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,274877906944,64,0,18500595586,25980739584,5343.42
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,274877906944,64,0,18500595586,25980739584,5483.12
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,274877906944,64,0,18500595586,25980739584,5548.47
