query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
query1.2,60,1,ZSTD,137438953472,32,0,2836595711,4030693376,2000.04
#[INFO ] Res size 12
query1.3,60,1,ZSTD,137438953472,32,0,2836595711,4030693376,1878.17
#[INFO ] Res size 7
query2.1,60,1,ZSTD,137438953472,32,0,5279473897,7377145856,3327.6
#[INFO ] Res size 7
query2.2,60,1,ZSTD,137438953472,32,0,5279473897,7377145856,4534.18
#[INFO ] Res size 7
query2.3,60,1,ZSTD,137438953472,32,0,5279473897,7377145856,4315.54
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/gzip/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 12
query1.1,60,1,GZIP,137438953472,32,0,3057175486,5885321216,2520.06
#[INFO ] Res size 12
query1.2,60,1,GZIP,137438953472,32,0,3057175510,5885321216,2297.93
#[INFO ] Res size 12
query1.3,60,1,GZIP,137438953472,32,0,3057175512,5885321216,2171.83
#[INFO ] Res size 7
query2.1,60,1,GZIP,137438953472,32,0,5784900927,8599498752,3814.61
#[INFO ] Res size 7
query2.2,60,1,GZIP,137438953472,32,0,5784900933,8599498752,5027.57
#[INFO ] Res size 7
query2.3,60,1,GZIP,137438953472,32,0,5784900933,8599498752,5015.7
#[INFO ] Res size 12
query1.1,60,1,GZIP,137438953472,32,0,3057175518,5885321216,2500.44
#[INFO ] Res size 12
query1.2,60,1,GZIP,137438953472,32,0,3057175518,5885321216,2345.58
#[INFO ] Res size 12
query1.3,60,1,GZIP,137438953472,32,0,3057175518,5885321216,2238.08
#[INFO ] Res size 7
query2.1,60,1,GZIP,137438953472,32,0,5784900933,8599498752,3817.68
#[INFO ] Res size 7
query2.2,60,1,GZIP,137438953472,32,0,5784900933,8599498752,4967.44
#[INFO ] Res size 7
query2.3,60,1,GZIP,137438953472,32,0,5784900935,8599498752,4927.41
#[INFO ] Res size 12
query1.1,60,1,GZIP,137438953472,32,0,3057175520,5885321216,2549.11
#[INFO ] Res size 12
query1.2,60,1,GZIP,137438953472,32,0,3057175520,5885321216,2295.35
#[INFO ] Res size 12
query1.3,60,1,GZIP,137438953472,32,0,3057175520,5885321216,2189.12
#[INFO ] Res size 7
query2.1,60,1,GZIP,137438953472,32,0,5784900937,8599498752,3882.78
#[INFO ] Res size 7
query2.2,60,1,GZIP,137438953472,32,0,5784900937,8599498752,5031.79
#[INFO ] Res size 7
query2.3,60,1,GZIP,137438953472,32,0,5784900937,8599498752,4945.64
#[INFO ] Res size 12
query1.1,60,1,GZIP,137438953472,32,0,3057175522,5885321216,2520.74
#[INFO ] Res size 12
query1.2,60,1,GZIP,137438953472,32,0,3057175522,5885321216,2337.25
#[INFO ] Res size 12
query1.3,60,1,GZIP,137438953472,32,0,3057175522,5885321216,2186.06
#[INFO ] Res size 7
query2.1,60,1,GZIP,137438953472,32,0,5784900937,8599498752,3787.25
#[INFO ] Res size 7
query2.2,60,1,GZIP,137438953472,32,0,5784900937,8599498752,4954.9
#[INFO ] Res size 7
query2.3,60,1,GZIP,137438953472,32,0,5784900941,8599498752,4975.83
#[INFO ] Res size 12
query1.1,60,1,GZIP,137438953472,32,0,3057175526,5885321216,2520.3
#[INFO ] Res size 12
query1.2,60,1,GZIP,137438953472,32,0,3057175526,5885321216,2318.25
#[INFO ] Res size 12
query1.3,60,1,GZIP,137438953472,32,0,3057175526,5885321216,2194.7
#[INFO ] Res size 7
query2.1,60,1,GZIP,137438953472,32,0,5784900941,8599498752,3785.38
#[INFO ] Res size 7
query2.2,60,1,GZIP,137438953472,32,0,5784900941,8599498752,5156.32
#[INFO ] Res size 7
query2.3,60,1,GZIP,137438953472,32,0,5784900941,8599498752,5052.6
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/uncompressed/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,9250297876,13856350208,3199.31
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,9250297902,13856350208,3138.11
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,9250297904,13856350208,3121.11
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,18500595574,25980739584,5844.51
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,18500595578,25980739584,6030.44
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,18500595578,25980739584,6071.39
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,9250297910,13856350208,3183.74
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,9250297910,13856350208,3138.72
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,9250297912,13856350208,3104.97
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,18500595582,25980739584,5856.85
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,18500595582,25980739584,6048.06
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,6075.92
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3217.98
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3139.05
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3111.98
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,5855.91
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,6110.77
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,6060.98
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3193.12
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3159.6
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,9250297914,13856350208,3130.81
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,5861.15
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,18500595584,25980739584,6080.5
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,18500595586,25980739584,6055.1
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,9250297916,13856350208,3184.19
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,9250297916,13856350208,3140.27
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,9250297916,13856350208,3119.95
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,18500595586,25980739584,5851.06
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,18500595586,25980739584,6047.03
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,18500595586,25980739584,6029.13
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/inmem/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,234,36864,1640.89
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,236,0,1452.47
#[INFO ] Res size 12
query1.3,60,1,UNCOMPRESSED,137438953472,32,0,236,0,1183.1
#[INFO ] Res size 7
query2.1,60,1,UNCOMPRESSED,137438953472,32,0,236,0,2686.13
#[INFO ] Res size 7
query2.2,60,1,UNCOMPRESSED,137438953472,32,0,236,0,3312.05
#[INFO ] Res size 7
query2.3,60,1,UNCOMPRESSED,137438953472,32,0,236,0,3244.46
#[INFO ] Res size 12
query1.1,60,1,UNCOMPRESSED,137438953472,32,0,236,0,1631.86
#[INFO ] Res size 12
query1.2,60,1,UNCOMPRESSED,137438953472,32,0,238,0,1477.87
