query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,simulate_compute_ms,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/taxi --dataflow=SSD2GPU --chunk_bytes=1048576,2097152,4194304,8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=UNCOMPRESSED,LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_VendorID,select_tpep_pickup_datetime,select_tpep_dropoff_datetime,select_Passenger_count,select_Trip_distance,select_RateCodeID,select_Store_and_fwd_flag,select_PULocationID,select_DOLocationID,select_Payment_type,select_Fare_amount,select_Extra,select_MTA_tax,select_Tip_amount,select_Tolls_amount,select_Improvement_surcharge,select_Total_amount,select_Congestion_Surcharge,select_Airport_fee --repeat=2 --scale_factor=12 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/taxi/trips.csv.dat --store_offset=0 --workers=12
#[INFO ] Loading table data from disk ...
select_VendorID,SSD2GPU,12,1,,12,1,1,4194304,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,139840128,25830252544,54697984,1168313848,0,-1,92.0802,-1,7.59312,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,8388608,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,253086336,25834446848,54661120,1168313848,0,-1,76.8287,-1,6.20851,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,16777216,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,479578752,25834446848,54525952,1168313848,0,-1,68.2922,-1,14.7079,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,33554432,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,932563584,25834446848,54419456,1168313848,0,-1,66.9755,-1,4.03602,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,67108864,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,1838533248,25868001280,55951360,1168313848,0,-1,64.6858,-1,4.66381,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,134217728,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,3650472576,25868001280,55967744,1168313848,0,-1,64.1942,-1,5.36716,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,268435456,65536,Cascaded,natural,0,DONTPRUNE,16,-1,42298834944,7274351232,26002219008,62230528,1168313848,0,-1,65.7066,-1,7.59847,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,1048576,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,1713539232,25829203968,132415488,1168313848,0,-1,3451.44,-1,131.667,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,2097152,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,1741850784,25830252544,131334144,1168313848,0,-1,1879.85,-1,78.3531,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,4194304,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,1798473888,25830252544,130789376,1168313848,0,-1,1018.83,-1,37.3948,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,8388608,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,1911720096,25834446848,130961408,1168313848,0,-1,544.499,-1,22.552,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,16777216,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,2138212512,25834446848,130785280,1168313848,0,-1,307.892,-1,22.5215,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,33554432,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,2591197344,25834446848,130678784,1168313848,0,-1,199.209,-1,16.8631,,,,
select_VendorID,SSD2GPU,12,1,,12,1,1,67108864,65536,Snappy,natural,0,DONTPRUNE,16,-1,42298834944,3497167008,25868001280,134406144,1168313848,0,-1,141.875,-1,17.7304,,,,
