query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_ms,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_ms=100 --event_sync=false
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,1,,2,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1699900416,86775894016,727875584,9600266112,0,-1,110869,-1,14133,,,,
select_orderpriority,SSD2GPU,100,1,,2,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1703439360,86776156160,660602880,9600266112,0,-1,31101.7,-1,3943.52,,,,
select_orderpriority,SSD2GPU,100,1,,2,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1717595136,86776156160,645906432,9600266112,0,-1,8992.53,-1,1116.37,,,,
select_orderpriority,SSD2GPU,100,1,,2,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1774218240,86788739072,643096576,9600266112,0,-1,2776.47,-1,345.538,,,,
select_orderpriority,SSD2GPU,100,1,,2,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,2000710656,86839070720,645537792,9600266112,0,-1,1244.26,-1,146.499,,,,
select_orderpriority,SSD2GPU,100,1,,2,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,2906680320,86839070720,645341184,9600266112,0,-1,966.923,-1,92.3633,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,262144,86775697408,9600266240,9600266112,0,-1,1240.93,-1,8497.12,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1048576,86775894016,9600266240,9600266112,0,-1,1114.13,-1,3103.64,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4194304,86776156160,9600266240,9600266112,0,-1,1289.19,-1,1195.27,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,16777216,86776156160,9600266240,9600266112,0,-1,1186.78,-1,635.26,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,67108864,86788739072,9600266240,9600266112,0,-1,1119.3,-1,530.24,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,268435456,86839070720,9600266240,9600266112,0,-1,1253.87,-1,527.234,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1073741824,86839070720,9600266240,9600266112,0,-1,1162,-1,515.091,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,3398031360,86775697408,1023455232,9600266112,0,-1,383066,-1,26665.8,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,3399800832,86775894016,727875584,9600266112,0,-1,110883,-1,7185.27,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,3406878720,86776156160,660602880,9600266112,0,-1,31111.4,-1,1989.81,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,3435190272,86776156160,645906432,9600266112,0,-1,8990.89,-1,567.247,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,3548436480,86788739072,643096576,9600266112,0,-1,2764.3,-1,177.466,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4001421312,86839070720,645537792,9600266112,0,-1,1301.34,-1,78.264,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,5813360640,86839070720,645341184,9600266112,0,-1,990.644,-1,90.364,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,524288,86775697408,9600266240,9600266112,0,-1,1136.22,-1,4453,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,2097152,86775894016,9600266240,9600266112,0,-1,1116.35,-1,1604.32,,,,
