query,dataflow,scale_factor,customer_factor,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 28909 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_key,select_commitdate,select_revenue --repeat=1 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1
#[INFO ] Loading table data from disk ...
select_key,SSD2GPU,200,1,1,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,65536,163786137600,9600122880,9600122824,0,-1,995.165,-1,17721.1,,,,
select_key,SSD2GPU,200,1,1,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,262144,163786203136,9600122880,9600122824,0,-1,1112.71,-1,6860.22,,,,
select_key,SSD2GPU,200,1,1,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,1048576,163786727424,9600122880,9600122824,0,-1,1157.96,-1,3070.94,,,,
select_key,SSD2GPU,200,1,1,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,4194304,163786727424,9600122880,9600122824,0,-1,1142.19,-1,1687.12,,,,
select_key,SSD2GPU,200,1,1,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,16777216,163799310336,9600122880,9600122824,0,-1,1145.3,-1,823.323,,,,
select_key,SSD2GPU,200,1,1,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,67108864,163849641984,9600122880,9600122824,0,-1,1016.72,-1,818.841,,,,
select_key,SSD2GPU,200,1,1,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,268435456,163849641984,9600122880,9600122824,0,-1,1073.09,-1,810.427,,,,
select_key,SSD2GPU,200,1,1,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,2363616,163786137600,600010752,9600122824,0,-1,17032.8,-1,14866.8,,,,
select_key,SSD2GPU,200,1,1,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,2805984,163786203136,450011136,9600122824,0,-1,4563.92,-1,4342.15,,,,
select_key,SSD2GPU,200,1,1,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,4575456,163786727424,450035712,9600122824,0,-1,1642.99,-1,1145.96,,,,
select_key,SSD2GPU,200,1,1,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,11653344,163786727424,423342080,9600122824,0,-1,811.445,-1,470.043,,,,
select_key,SSD2GPU,200,1,1,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,39964896,163799310336,422465536,9600122824,0,-1,575.833,-1,240.236,,,,
select_key,SSD2GPU,200,1,1,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,153211104,163849641984,424558592,9600122824,0,-1,537.254,-1,127.53,,,,
select_key,SSD2GPU,200,1,1,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,606195936,163849641984,424235008,9600122824,0,-1,530.118,-1,77.4271,,,,
select_key,SSD2GPU,200,1,2,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,131072,163786137600,9600122880,9600122824,0,-1,1288.43,-1,9254.39,,,,
select_key,SSD2GPU,200,1,2,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,524288,163786203136,9600122880,9600122824,0,-1,1074.02,-1,3689.61,,,,
select_key,SSD2GPU,200,1,2,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,2097152,163786727424,9600122880,9600122824,0,-1,983.736,-1,1676.62,,,,
select_key,SSD2GPU,200,1,2,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,8388608,163786727424,9600122880,9600122824,0,-1,1187.49,-1,874.026,,,,
select_key,SSD2GPU,200,1,2,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,33554432,163799310336,9600122880,9600122824,0,-1,1100.22,-1,594.671,,,,
select_key,SSD2GPU,200,1,2,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,134217728,163849641984,9600122880,9600122824,0,-1,1086.48,-1,583.23,,,,
select_key,SSD2GPU,200,1,2,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,536870912,163849641984,9600122880,9600122824,0,-1,1107.05,-1,568.958,,,,
select_key,SSD2GPU,200,1,2,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,4727232,163786137600,600010752,9600122824,0,-1,16841.1,-1,7599.47,,,,
select_key,SSD2GPU,200,1,2,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,5611968,163786203136,450011136,9600122824,0,-1,4517.58,-1,2162.03,,,,
select_key,SSD2GPU,200,1,2,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,9150912,163786727424,450035712,9600122824,0,-1,1640.54,-1,604.84,,,,
select_key,SSD2GPU,200,1,2,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,23306688,163786727424,423342080,9600122824,0,-1,1009.34,-1,241.628,,,,
select_key,SSD2GPU,200,1,2,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,79929792,163799310336,422465536,9600122824,0,-1,577.444,-1,127.285,,,,
select_key,SSD2GPU,200,1,2,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,306422208,163849641984,424558592,9600122824,0,-1,536.589,-1,66.5689,,,,
select_key,SSD2GPU,200,1,2,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,42298834944,1212391872,163849641984,424235008,9600122824,0,-1,528.035,-1,38.6802,,,,
select_key,SSD2GPU,200,1,4,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,42298834944,262144,163786137600,9600122880,9600122824,0,-1,1165.16,-1,4738.24,,,,
