query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:87:00.0
# Slurm Info: 31329 32 1 gres:gpu:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_us=50 --event_sync=false
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,1,,4,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,4001421312,86839070720,645537792,9600266112,0,-1,1247.34,-1,77.4949,,,,
select_orderpriority,SSD2GPU,100,1,,4,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,5813360640,86839070720,645341184,9600266112,0,-1,975.202,-1,86.9901,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,6796062720,86775697408,1023455232,9600266112,0,-1,394127,-1,16476.8,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,6799601664,86775894016,727875584,9600266112,0,-1,113186,-1,4349.62,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,6813757440,86776156160,660602880,9600266112,0,-1,31332.9,-1,1165.87,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,6870380544,86776156160,645906432,9600266112,0,-1,8878.74,-1,315.037,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,7096872960,86788739072,643096576,9600266112,0,-1,2770.37,-1,98.5522,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,8002842624,86839070720,645537792,9600266112,0,-1,1241.19,-1,65.1238,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,11626721280,86839070720,645341184,9600266112,0,-1,962.022,-1,86.9643,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,50,0,42298834944,13592125440,86775697408,1023455232,9600266112,0,-1,394058,-1,14392.3,,,,
