query,dataflow,scale_factor,customer_factor,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,2651.69,,,,
#[INFO ] Sum of results            =237890592976
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,5282.71,,,,
#[INFO ] Sum of results            =237890592976
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,3620.41,,,,
#[INFO ] Sum of results            =237890592976
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,2544.32,,,,
#[INFO ] Sum of results            =3368697546
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,6373.22,,,,
#[INFO ] Sum of results            =3368697546
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,4477.92,,,,
#[INFO ] Sum of results            =3368697546
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387010624,0,33936429884,0,-1,0,-1,2062.26,,,,
#[INFO ] Sum of results            =67818022284047
#[INFO ] Number of results (groups)=35
query4.1,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387001424,0,48000614120,0,-1,0,-1,7796.46,,,,
#[INFO ] Sum of results            =67818022284047
#[INFO ] Number of results (groups)=35
query4.1,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387001424,0,48000614120,0,-1,0,-1,6239.5,,,,
#[INFO ] Sum of results            =67818022284047
#[INFO ] Number of results (groups)=35
query4.1,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387001424,0,48000614120,0,-1,0,-1,3196.43,,,,
#[INFO ] Sum of results            =19326045586521
#[INFO ] Number of results (groups)=100
query4.2,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387009424,0,48000614120,0,-1,0,-1,10272.7,,,,
#[INFO ] Sum of results            =19326045586521
#[INFO ] Number of results (groups)=100
query4.2,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387009424,0,48000614120,0,-1,0,-1,3828.38,,,,
#[INFO ] Sum of results            =19326045586521
#[INFO ] Number of results (groups)=100
query4.2,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387009424,0,48000614120,0,-1,0,-1,4728.75,,,,
#[INFO ] Sum of results            =390631743549
#[INFO ] Number of results (groups)=800
query4.3,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,48000614120,0,-1,0,-1,6302.25,,,,
#[INFO ] Sum of results            =390631743549
#[INFO ] Number of results (groups)=800
query4.3,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,48000614120,0,-1,0,-1,5079.85,,,,
#[INFO ] Sum of results            =390631743549
#[INFO ] Number of results (groups)=800
query4.3,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,48000614120,0,-1,0,-1,4440.27,,,,
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,1421.02,,,,
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,539.248,,,,
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,431.364,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,916.148,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,662.032,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,233387017424,0,16800214942,0,-1,0,-1,481.069,,,,
#[INFO ] The result is: 4936900771232
