query,scale_factor,drop_cache,row_group_size,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_ssb1.0 --repeat=5 --dbpath=/raid/gds/ssb/parquet200/uncompressed_sorted/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=274877906944 --thread_limit=64 --explain_analyze=false
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588285,50393853952,5104.82
#[INFO ] Res size 35
query4.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48089203514,57599963136,8659
#[INFO ] Res size 100
query4.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48081524470,57599963136,8723.64
#[INFO ] Res size 800
query4.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48083944208,57599963136,7326.24
#[INFO ] Res size 1
query1.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,23534457544,38910205952,3767.18
#[INFO ] Res size 1
query1.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20314305111,34899660800,3206.4
#[INFO ] Res size 1
query1.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20356709384,34937032704,3219.14
#[INFO ] Res size 280
query2.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33625152797,46732267520,5411.36
#[INFO ] Res size 56
query2.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079521,46732267520,5122.84
#[INFO ] Res size 7
query2.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079521,46732267520,5064.19
#[INFO ] Res size 150
query3.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33674347328,50393853952,5574.63
#[INFO ] Res size 600
query3.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33676875921,50393853952,5196.43
#[INFO ] Res size 24
query3.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664587149,50393853952,5138.27
#[INFO ] Res size 4
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588285,50393853952,5055.1
#[INFO ] Res size 35
query4.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48089203514,57599963136,8599.72
#[INFO ] Res size 100
query4.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48081524470,57599963136,8577.06
#[INFO ] Res size 800
query4.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48083944208,57599963136,7314.3
# ../../../bin/duckdb_ssb1.0 --repeat=5 --dbpath=/raid/gds/ssb/parquet200/snappy_sorted/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=274877906944 --thread_limit=64 --explain_analyze=false
#[INFO ] Res size 1
query1.1,200,1,1050624,SNAPPY,274877906944,64,0,23535897296,18950139904,3031.91
#[INFO ] Res size 1
query1.2,200,1,1050624,SNAPPY,274877906944,64,0,20314305095,157364224,2047.77
#[INFO ] Res size 1
query1.3,200,1,1050624,SNAPPY,274877906944,64,0,20356709368,15728640,2071.01
#[INFO ] Res size 280
query2.1,200,1,1050624,SNAPPY,274877906944,64,0,33625152781,0,3890.45
#[INFO ] Res size 56
query2.2,200,1,1050624,SNAPPY,274877906944,64,0,33622079507,0,3638.14
#[INFO ] Res size 7
query2.3,200,1,1050624,SNAPPY,274877906944,64,0,33622079509,0,3633.66
#[INFO ] Res size 150
query3.1,200,1,1050624,SNAPPY,274877906944,64,0,33674347316,0,4093.08
#[INFO ] Res size 600
query3.2,200,1,1050624,SNAPPY,274877906944,64,0,33676875909,0,3557.25
#[INFO ] Res size 24
query3.3,200,1,1050624,SNAPPY,274877906944,64,0,33664587137,0,3475.67
#[INFO ] Res size 4
query3.4,200,1,1050624,SNAPPY,274877906944,64,0,33664588277,0,3469.92
#[INFO ] Res size 35
query4.1,200,1,1050624,SNAPPY,274877906944,64,0,48089203506,0,6703.64
#[INFO ] Res size 100
query4.2,200,1,1050624,SNAPPY,274877906944,64,0,48081524462,0,6457.7
#[INFO ] Res size 800
query4.3,200,1,1050624,SNAPPY,274877906944,64,0,48083944200,0,5708.44
#[INFO ] Res size 1
query1.1,200,1,1050624,SNAPPY,274877906944,64,0,23534457536,0,2568.68
#[INFO ] Res size 1
query1.2,200,1,1050624,SNAPPY,274877906944,64,0,20314305103,0,2189.98
#[INFO ] Res size 1
query1.3,200,1,1050624,SNAPPY,274877906944,64,0,20356709376,0,2130.68
#[INFO ] Res size 280
query2.1,200,1,1050624,SNAPPY,274877906944,64,0,33625152789,0,3802.84
#[INFO ] Res size 56
query2.2,200,1,1050624,SNAPPY,274877906944,64,0,33622079513,0,3576.38
#[INFO ] Res size 7
query2.3,200,1,1050624,SNAPPY,274877906944,64,0,33622079513,0,3590.71
#[INFO ] Res size 150
query3.1,200,1,1050624,SNAPPY,274877906944,64,0,33674347320,0,3785.66
#[INFO ] Res size 600
query3.2,200,1,1050624,SNAPPY,274877906944,64,0,33676875913,0,3519.98
#[INFO ] Res size 24
query3.3,200,1,1050624,SNAPPY,274877906944,64,0,33664587141,0,3499.81
#[INFO ] Res size 4
query3.4,200,1,1050624,SNAPPY,274877906944,64,0,33664588277,0,3432.22
#[INFO ] Res size 35
query4.1,200,1,1050624,SNAPPY,274877906944,64,0,48089203506,0,6412.42
#[INFO ] Res size 100
query4.2,200,1,1050624,SNAPPY,274877906944,64,0,48081524462,0,6981.17
#[INFO ] Res size 800
query4.3,200,1,1050624,SNAPPY,274877906944,64,0,48083944200,0,5655.08
#[INFO ] Res size 1
query1.1,200,1,1050624,SNAPPY,274877906944,64,0,23534457536,0,2566.11
#[INFO ] Res size 1
query1.2,200,1,1050624,SNAPPY,274877906944,64,0,20314305103,0,2191.35
#[INFO ] Res size 1
query1.3,200,1,1050624,SNAPPY,274877906944,64,0,20356709376,0,2201.46
#[INFO ] Res size 280
query2.1,200,1,1050624,SNAPPY,274877906944,64,0,33625152789,0,3857.05
#[INFO ] Res size 56
query2.2,200,1,1050624,SNAPPY,274877906944,64,0,33622079513,0,3625.63
#[INFO ] Res size 7
query2.3,200,1,1050624,SNAPPY,274877906944,64,0,33622079515,0,3612.43
#[INFO ] Res size 150
query3.1,200,1,1050624,SNAPPY,274877906944,64,0,33674347322,0,3806.79
#[INFO ] Res size 600
query3.2,200,1,1050624,SNAPPY,274877906944,64,0,33676875915,0,3584.65
#[INFO ] Res size 24
query3.3,200,1,1050624,SNAPPY,274877906944,64,0,33664587143,0,3492.82
#[INFO ] Res size 4
query3.4,200,1,1050624,SNAPPY,274877906944,64,0,33664588279,0,3487.12
#[INFO ] Res size 35
query4.1,200,1,1050624,SNAPPY,274877906944,64,0,48089203508,0,6316.24
#[INFO ] Res size 100
query4.2,200,1,1050624,SNAPPY,274877906944,64,0,48081524464,0,6583.93
#[INFO ] Res size 800
query4.3,200,1,1050624,SNAPPY,274877906944,64,0,48083944202,0,5602.57
#[INFO ] Res size 1
query1.1,200,1,1050624,SNAPPY,274877906944,64,0,23534457538,0,2567.01
#[INFO ] Res size 1
query1.2,200,1,1050624,SNAPPY,274877906944,64,0,20314305105,0,2217.44
#[INFO ] Res size 1
query1.3,200,1,1050624,SNAPPY,274877906944,64,0,20356709378,0,2219
#[INFO ] Res size 280
query2.1,200,1,1050624,SNAPPY,274877906944,64,0,33625152793,0,3819.27
#[INFO ] Res size 56
query2.2,200,1,1050624,SNAPPY,274877906944,64,0,33622079517,0,3629.33
#[INFO ] Res size 7
query2.3,200,1,1050624,SNAPPY,274877906944,64,0,33622079517,0,3572.08
#[INFO ] Res size 150
query3.1,200,1,1050624,SNAPPY,274877906944,64,0,33674347324,0,3867.45
#[INFO ] Res size 600
query3.2,200,1,1050624,SNAPPY,274877906944,64,0,33676875917,0,3555.11
#[INFO ] Res size 24
query3.3,200,1,1050624,SNAPPY,274877906944,64,0,33664587145,0,3515.41
#[INFO ] Res size 4
query3.4,200,1,1050624,SNAPPY,274877906944,64,0,33664588281,0,3485.3
#[INFO ] Res size 35
query4.1,200,1,1050624,SNAPPY,274877906944,64,0,48089203510,0,6616.68
#[INFO ] Res size 100
query4.2,200,1,1050624,SNAPPY,274877906944,64,0,48081524466,0,6815.15
#[INFO ] Res size 800
query4.3,200,1,1050624,SNAPPY,274877906944,64,0,48083944204,0,5567.66
#[INFO ] Res size 1
query1.1,200,1,1050624,SNAPPY,274877906944,64,0,23534457540,0,2587.47
#[INFO ] Res size 1
query1.2,200,1,1050624,SNAPPY,274877906944,64,0,20314305107,0,2200.49
#[INFO ] Res size 1
