query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3,customer_factor,extra_workers,add_cpu_threads
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:BD:00.0
# Slurm Info: 34538 32 1 gres:gpu:1
# ../../../bin/ssb --dataflow=SSD2GPU2CPU --chunk_bytes=4194304,16777216,67108864 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --repeat=2 --scale_factor=10 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb10.dat --store_offset=0 --workers=8 --pre_aggr_path= --csv_delimiter=,
#[INFO ] Loading table data from disk ...
#[INFO ] Prejoining tables for metadata ...
#[INFO ] chunk_num: 115, tuples_per_chunk: 524288, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 115 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,64579548,11774425044,840073216,840066332,0,-1,1074.51,0.012514,52.1777,,,,,1,1,1
#[INFO ] chunk_num: 29, tuples_per_chunk: 2097152, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 29 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,236441348,11770126076,840073216,840066332,0,-1,969.352,0.009158,48.7956,,,,,1,1,1
#[INFO ] chunk_num: 8, tuples_per_chunk: 8388608, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 8 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,940034672,11769076328,840073216,840066332,0,-1,955.005,0.008997,46.4407,,,,,1,1,1
#[INFO ] chunk_num: 115, tuples_per_chunk: 524288, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 115 chunks (0.00), 0 of 296386560 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,9057922780,11774425044,296386560,840066332,0,-1,5346.8,0.007414,35.5003,,,,,1,1,1
#[INFO ] chunk_num: 29, tuples_per_chunk: 2097152, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 29 chunks (0.00), 0 of 296079360 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,9449985540,11770126076,296079360,840066332,0,-1,1998.42,0.013005,25.1326,,,,,1,1,1
#[INFO ] chunk_num: 8, tuples_per_chunk: 8388608, Tuples total 60004738
#[INFO ] The result is: 4212228344835
#[INFO ] Pruned: 0 of 8 chunks (0.00), 0 of 308199424 bytes (0.00), took 0.01 ms
query1.1,SSD2GPU2CPU,10,,8,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,11034382704,11769076328,308199424,840066332,0,-1,1194.79,0.012564,24.0703,,,,,1,1,1
#[INFO ] chunk_num: 115, tuples_per_chunk: 524288, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 115 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.2,SSD2GPU2CPU,10,,8,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,64579548,11774425044,840073216,840066332,0,-1,1047.15,0.009929,63.5914,,,,,1,1,1
#[INFO ] chunk_num: 29, tuples_per_chunk: 2097152, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 29 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.2,SSD2GPU2CPU,10,,8,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,236441348,11770126076,840073216,840066332,0,-1,974.342,0.011152,48.4244,,,,,1,1,1
#[INFO ] chunk_num: 8, tuples_per_chunk: 8388608, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 8 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.2,SSD2GPU2CPU,10,,8,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,940034672,11769076328,840073216,840066332,0,-1,962.799,0.012984,47.8892,,,,,1,1,1
#[INFO ] chunk_num: 115, tuples_per_chunk: 524288, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 115 chunks (0.00), 0 of 295538688 bytes (0.00), took 0.02 ms
query1.2,SSD2GPU2CPU,10,,8,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,9057922780,11774425044,295538688,840066332,0,-1,5385.51,0.018475,61.6056,,,,,1,1,1
#[INFO ] chunk_num: 29, tuples_per_chunk: 2097152, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 29 chunks (0.00), 0 of 296079360 bytes (0.00), took 0.02 ms
query1.2,SSD2GPU2CPU,10,,8,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,9449985540,11770126076,296079360,840066332,0,-1,2017.62,0.02106,21.3577,,,,,1,1,1
#[INFO ] chunk_num: 8, tuples_per_chunk: 8388608, Tuples total 60004738
#[INFO ] The result is: 900952032730
#[INFO ] Pruned: 0 of 8 chunks (0.00), 0 of 308199424 bytes (0.00), took 0.01 ms
query1.2,SSD2GPU2CPU,10,,8,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,11034382704,11769076328,308199424,840066332,0,-1,1218.37,0.009909,28.2522,,,,,1,1,1
#[INFO ] chunk_num: 115, tuples_per_chunk: 524288, Tuples total 60004738
#[INFO ] The result is: 246824540411
#[INFO ] Pruned: 0 of 115 chunks (0.00), 0 of 840073216 bytes (0.00), took 0.01 ms
query1.3,SSD2GPU2CPU,10,,8,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,64579548,11774425044,840073216,840066332,0,-1,1142.26,0.011342,53.7776,,,,,1,1,1
#[INFO ] chunk_num: 29, tuples_per_chunk: 2097152, Tuples total 60004738
#[INFO ] The result is: 246824540411
