query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3,customer_factor,extra_workers,add_cpu_threads
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32625 32 1 gres:gpu:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,33554432,67108864,134217728 --comp_algo=BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_us=-1 --event_sync=true --sort_by=natural
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,849556992,86775697408,1023455232,9600266112,0,-1,382247,-1,89564.9,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,131072,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,849688064,86775762944,830242816,9600266112,0,-1,207531,-1,46384.8,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,849950208,86775894016,727875584,9600266112,0,-1,110058,-1,23923.2,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,524288,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,850540032,86776156160,679768064,9600266112,0,-1,58093.9,-1,13324.8,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,851719680,86776156160,660602880,9600266112,0,-1,30566.1,-1,6887.88,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,2097152,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,854078976,86776156160,650846208,9600266112,0,-1,16251.2,-1,3604.78,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,858797568,86776156160,645906432,9600266112,0,-1,8705.65,-1,1966.44,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,8388608,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,868234752,86780350464,643768320,9600266112,0,-1,4662.53,-1,1116.37,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,887109120,86788739072,643096576,9600266112,0,-1,2757.58,-1,615.26,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,33554432,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,924857856,86805516288,643571712,9600266112,0,-1,1823.53,-1,384.49,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1000355328,86839070720,645537792,9600266112,0,-1,1267.96,-1,246.773,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,1,134217728,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1151350272,86839070720,645447680,9600266112,0,-1,1117.35,-1,163.765,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,2,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1699113984,86775697408,1023455232,9600266112,0,-1,382194,-1,44917.2,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,2,131072,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1699376128,86775762944,830242816,9600266112,0,-1,207485,-1,23315.3,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,2,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1699900416,86775894016,727875584,9600266112,0,-1,110038,-1,12071.2,,,,,1,1,1
select_orderpriority,SSD2GPU,100,,2,524288,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1701080064,86776156160,679768064,9600266112,0,-1,58078.6,-1,6732.46,,,,,1,1,1
