query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
query3.4,INMEM,200,1,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,233387010624,0,33936429884,0,-1,-1,-1,1150.79,,,,
#Hashtable Builds took 1044.84 ms
#[INFO ] Sum of results            =149452518433851
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,4065.59,,,,
#Hashtable Builds took 1013.49 ms
#[INFO ] Sum of results            =149452518433851
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,4004.71,,,,
#Hashtable Builds took 1039.32 ms
#[INFO ] Sum of results            =149452518433851
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,4032.61,,,,
#Hashtable Builds took 1037.23 ms
#[INFO ] Sum of results            =149452518433851
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,3971.72,,,,
#Hashtable Builds took 376.169 ms
#[INFO ] Sum of results            =6000378155020
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,2044.55,,,,
#Hashtable Builds took 377.663 ms
#[INFO ] Sum of results            =6000378155020
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,2035.03,,,,
#Hashtable Builds took 376.103 ms
#[INFO ] Sum of results            =6000378155020
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,25,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,255275010624,0,42000429884,0,-1,-1,-1,2038.37,,,,
#Hashtable Builds took 374.636 ms
#[INFO ] Sum of results            =6000378155020
#[INFO ] Number of results (groups)=600
