# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:B7:00.0
# Slurm Info: 24264 32 1 gres:gpu:gpu_group3:1
# ../bin/sample_ssb --chunk_bytes=8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --customer_factor=1 --columns=lo_key,lo_linenum,lo_custkey,lo_partkey,lo_suppkey,lo_orderdate,lo_linenumber,lo_orderpriority,lo_quantity,lo_extendedprice,lo_ordtotalprice,lo_discount,lo_revenue,lo_supplycost,lo_tax,lo_commitdate,lo_shipmode --sample_ratio=0.01,0.05,0.1,0.2
col_name,comp_algo,uncomp_bytes,chunk_bytes,sample_ratio,workers,comp_bytes,comp_time,decomp_time
lo_ordtotalprice_sample_RATIO,Cascaded,240003068,268435456,0.05,8,60215296,36.0667,8.20209
lo_discount_sample_BW,Bitcomp,60000767,8388608,0.05,8,33718272,10.9415,3.1938
lo_discount_sample_RATIO,ANS,60000767,67108864,0.05,8,26083328,13.7069,4.75179
lo_revenue_sample_BW,Bitcomp,240003068,8388608,0.05,8,178057216,51.8316,11.4351
lo_revenue_sample_RATIO,Bitcomp,240003068,268435456,0.05,8,175661056,61.1164,19.4253
lo_supplycost_sample_BW,Bitcomp,240003068,8388608,0.05,8,129118208,42.0224,8.49991
lo_supplycost_sample_RATIO,Bitcomp,240003068,268435456,0.05,8,127332352,50.4285,14.0609
lo_tax_sample_BW,ANS,60000767,8388608,0.05,8,26738688,21.5252,3.08133
lo_tax_sample_RATIO,ANS,60000767,67108864,0.05,8,23912448,13.5143,4.93026
lo_commitdate_sample_BW,Bitcomp,480006136,16777216,0.05,8,146272256,53.2913,9.23452
lo_commitdate_sample_RATIO,Bitcomp,480006136,16777216,0.05,8,146272256,53.2913,9.23452
lo_shipmode_sample_BW,Gdeflate,960012272,67108864,0.05,8,101281792,148.297,9.08669
lo_shipmode_sample_RATIO,Gdeflate,960012272,8388608,0.05,8,95924224,559.343,17.4266
lo_key_sample_BW,Cascaded,960012280,33554432,0.1,8,42762240,59.8076,4.01475
lo_key_sample_RATIO,Cascaded,960012280,8388608,0.1,8,42401792,73.5279,7.47734
lo_linenum_sample_BW,Bitcomp,120001535,8388608,0.1,8,45350912,16.3806,3.42482
lo_linenum_sample_RATIO,Cascaded,120001535,134217728,0.1,8,36986880,21.7111,6.08024
lo_custkey_sample_BW,Cascaded,960012280,67108864,0.1,8,71979008,64.0845,6.15921
lo_custkey_sample_RATIO,Cascaded,960012280,8388608,0.1,8,66936832,71.4181,8.43727
lo_partkey_sample_BW,Bitcomp,960012280,16777216,0.1,8,233218048,99.0063,13.8023
lo_partkey_sample_RATIO,Bitcomp,960012280,268435456,0.1,8,228839424,132.237,15.3076
lo_suppkey_sample_BW,Bitcomp,960012280,268435456,0.1,8,320864256,159.001,17.659
lo_suppkey_sample_RATIO,Bitcomp,960012280,8388608,0.1,8,288747520,166.089,76.5699
lo_orderdate_sample_BW,Cascaded,960012280,33554432,0.1,8,98770944,75.0253,6.94828
lo_orderdate_sample_RATIO,Cascaded,960012280,8388608,0.1,8,98037760,77.9011,8.93256
lo_linenumber_sample_BW,Bitcomp,120001535,8388608,0.1,8,47554560,17.6366,3.56131
lo_linenumber_sample_RATIO,ANS,120001535,134217728,0.1,8,39424000,22.0443,6.34984
lo_orderpriority_sample_BW,Gdeflate,1920024560,67108864,0.1,8,115339264,232.902,13.2817
lo_orderpriority_sample_RATIO,Gdeflate,1920024560,8388608,0.1,8,114040832,845.229,31.1971
lo_quantity_sample_BW,Bitcomp,120001535,8388608,0.1,8,94679040,27.1848,6.71835
lo_quantity_sample_RATIO,ANS,120001535,134217728,0.1,8,84996096,32.7996,10.2904
lo_extendedprice_sample_BW,Bitcomp,480006140,16777216,0.1,8,358817792,103.117,21.5425
lo_extendedprice_sample_RATIO,Bitcomp,480006140,16777216,0.1,8,358817792,103.117,21.5425
lo_ordtotalprice_sample_BW,Cascaded,480006140,8388608,0.1,8,121135104,54.5596,8.04522
lo_ordtotalprice_sample_RATIO,Cascaded,480006140,16777216,0.1,8,121061376,52.7331,8.1833
lo_discount_sample_BW,Bitcomp,120001535,8388608,0.1,8,63221760,20.8022,4.67565
lo_discount_sample_RATIO,ANS,120001535,134217728,0.1,8,52154368,24.702,7.49473
lo_revenue_sample_BW,Bitcomp,480006140,16777216,0.1,8,356098048,99.2614,19.7847
lo_revenue_sample_RATIO,Bitcomp,480006140,16777216,0.1,8,356098048,99.2614,19.7847
lo_supplycost_sample_BW,Bitcomp,480006140,16777216,0.1,8,258117632,79.2373,15.4451
lo_supplycost_sample_RATIO,Bitcomp,480006140,16777216,0.1,8,258117632,79.2373,15.4451
lo_tax_sample_BW,Bitcomp,120001535,8388608,0.1,8,62365696,19.639,4.61638
lo_tax_sample_RATIO,ANS,120001535,134217728,0.1,8,47816704,25.3809,7.25389
lo_commitdate_sample_BW,Bitcomp,960012280,33554432,0.1,8,292487168,104.761,17.499
lo_commitdate_sample_RATIO,Bitcomp,960012280,8388608,0.1,8,290140160,114.806,21.7902
lo_shipmode_sample_BW,Gdeflate,1920024560,67108864,0.1,8,193642496,290.27,17.3845
lo_shipmode_sample_RATIO,Gdeflate,1920024560,8388608,0.1,8,190660608,1113.79,33.1554
lo_key_sample_BW,Cascaded,1920024560,33554432,0.2,8,79527936,128.644,6.11525
lo_key_sample_RATIO,Cascaded,1920024560,8388608,0.2,8,78544896,145.434,12.6366
lo_linenum_sample_BW,Cascaded,240003070,8388608,0.2,8,74510336,35.0057,5.31989
lo_linenum_sample_RATIO,Cascaded,240003070,268435456,0.2,8,73965568,41.9885,10.8446
lo_custkey_sample_BW,Cascaded,1920024560,67108864,0.2,8,186052608,146.615,12.0857
lo_custkey_sample_RATIO,Cascaded,1920024560,8388608,0.2,8,183382016,165.375,15.8334
lo_partkey_sample_BW,Bitcomp,1920024560,8388608,0.2,8,614129664,300.669,32.3641
lo_partkey_sample_RATIO,Bitcomp,1920024560,8388608,0.2,8,614129664,300.669,32.3641
lo_suppkey_sample_BW,Bitcomp,1920024560,33554432,0.2,8,483082240,258.45,27.6858
lo_suppkey_sample_RATIO,Bitcomp,1920024560,8388608,0.2,8,476262400,209.113,27.8393
lo_orderdate_sample_BW,Cascaded,1920024560,67108864,0.2,8,154578944,244.025,9.73125
lo_orderdate_sample_RATIO,Cascaded,1920024560,8388608,0.2,8,152420352,152.429,15.1396
lo_linenumber_sample_BW,Bitcomp,240003070,16777216,0.2,8,95047680,32.5592,6.47943
lo_linenumber_sample_RATIO,ANS,240003070,268435456,0.2,8,78843904,41.6522,10.2585
lo_orderpriority_sample_BW,Gdeflate,3840049120,67108864,0.2,8,245374976,475.583,24.4131
lo_orderpriority_sample_RATIO,Gdeflate,3840049120,16777216,0.2,8,242368512,1036.03,36.5913
lo_quantity_sample_BW,Bitcomp,240003070,8388608,0.2,8,183046144,52.7735,11.1742
lo_quantity_sample_RATIO,ANS,240003070,268435456,0.2,8,169984000,63.5456,20.7609
lo_extendedprice_sample_BW,Bitcomp,960012280,33554432,0.2,8,520024064,154.791,28.8583
lo_extendedprice_sample_RATIO,Bitcomp,960012280,8388608,0.2,8,514121728,160.927,29.3427
