query,scale_factor,comp_algo,comp_bytes,uncomp_bytes,io_bytes,time_ms
query3.2,200,UNCOMPRESSED,0,0,0,11242.593
# read total= 17819200
#[INFO ] Results#:  24
query3.3,200,UNCOMPRESSED,0,0,0,10788.303
# read total= 17819200
#[INFO ] Results#:  4
query3.4,200,UNCOMPRESSED,0,0,0,11081.628
# read total= 17819200
#[INFO ] Results#:  35
query4.1,200,UNCOMPRESSED,0,0,0,13638.396
# read total= 18147184
#[INFO ] Results#:  100
query4.2,200,UNCOMPRESSED,0,0,0,13789.057
# read total= 18147184
#[INFO ] Results#:  800
query4.3,200,UNCOMPRESSED,0,0,0,12389.515
# read total= 18147184
#[INFO ] Result  :  84148405063199
query1.1,200,SNAPPY,0,0,0,9495.740
# read total= 16904382
#[INFO ] Result  :  18167977739771
query1.2,200,SNAPPY,0,0,0,10133.124
# read total= 16904382
#[INFO ] Result  :  4936900771232
query1.3,200,SNAPPY,0,0,0,9636.751
# read total= 16904382
#[INFO ] Results#:  280
query2.1,200,SNAPPY,0,0,0,10542.311
# read total= 17560382
#[INFO ] Results#:  56
query2.2,200,SNAPPY,0,0,0,10671.655
# read total= 17560382
#[INFO ] Results#:  7
query2.3,200,SNAPPY,0,0,0,10160.283
# read total= 17560382
#[INFO ] Results#:  150
query3.1,200,SNAPPY,0,0,0,11902.845
# read total= 17560382
#[INFO ] Results#:  600
query3.2,200,SNAPPY,0,0,0,11048.398
# read total= 17560382
#[INFO ] Results#:  24
query3.3,200,SNAPPY,0,0,0,10971.229
# read total= 17560382
#[INFO ] Results#:  4
query3.4,200,SNAPPY,0,0,0,10625.679
# read total= 17560382
#[INFO ] Results#:  35
query4.1,200,SNAPPY,0,0,0,13284.664
# read total= 17888366
#[INFO ] Results#:  100
query4.2,200,SNAPPY,0,0,0,12903.913
# read total= 17888366
#[INFO ] Results#:  800
query4.3,200,SNAPPY,0,0,0,11936.437
# read total= 17888366
#[INFO ] Result  :  84148405063199
query1.1,200,ZSTD,0,0,0,8181.596
# read total= 16681328
#[INFO ] Result  :  18167977739771
query1.2,200,ZSTD,0,0,0,8821.213
# read total= 16681328
