# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 33169408/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.457836 GiB/sec, Avg_Latency: 1786.108198 usecs ops: 4049 total_time 1.811955 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 33161216/33554432(KiB) IOSize: 16384(KiB) Throughput: 17.105662 GiB/sec, Avg_Latency: 3638.455739 usecs ops: 2024 total_time 1.848803 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 33062912/33554432(KiB) IOSize: 32768(KiB) Throughput: 17.182784 GiB/sec, Avg_Latency: 7235.723253 usecs ops: 1009 total_time 1.835049 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32833536/33554432(KiB) IOSize: 65536(KiB) Throughput: 17.075199 GiB/sec, Avg_Latency: 14521.291914 usecs ops: 501 total_time 1.833800 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32401600/33554432(KiB) IOSize: 64(KiB) Throughput: 3.761025 GiB/sec, Avg_Latency: 129.885855 usecs ops: 506275 total_time 8.215999 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32388608/33554432(KiB) IOSize: 128(KiB) Throughput: 5.874480 GiB/sec, Avg_Latency: 166.330765 usecs ops: 253036 total_time 5.258029 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32084224/33554432(KiB) IOSize: 256(KiB) Throughput: 7.909576 GiB/sec, Avg_Latency: 247.056135 usecs ops: 125329 total_time 3.868463 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32870912/33554432(KiB) IOSize: 512(KiB) Throughput: 10.120979 GiB/sec, Avg_Latency: 386.052282 usecs ops: 64201 total_time 3.097343 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32976896/33554432(KiB) IOSize: 1024(KiB) Throughput: 14.361135 GiB/sec, Avg_Latency: 543.955370 usecs ops: 32204 total_time 2.189884 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32876544/33554432(KiB) IOSize: 2048(KiB) Throughput: 17.291594 GiB/sec, Avg_Latency: 903.332226 usecs ops: 16053 total_time 1.813223 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 33021952/33554432(KiB) IOSize: 4096(KiB) Throughput: 18.539702 GiB/sec, Avg_Latency: 1678.627616 usecs ops: 8062 total_time 1.698635 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32768000/33554432(KiB) IOSize: 8192(KiB) Throughput: 18.057791 GiB/sec, Avg_Latency: 3452.676486 usecs ops: 4000 total_time 1.730555 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32931840/33554432(KiB) IOSize: 16384(KiB) Throughput: 18.228184 GiB/sec, Avg_Latency: 6811.785460 usecs ops: 2010 total_time 1.722950 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32342016/33554432(KiB) IOSize: 32768(KiB) Throughput: 18.272764 GiB/sec, Avg_Latency: 13595.222157 usecs ops: 987 total_time 1.687963 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32505856/33554432(KiB) IOSize: 65536(KiB) Throughput: 18.181392 GiB/sec, Avg_Latency: 27204.137834 usecs ops: 496 total_time 1.705040 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32868032/33554432(KiB) IOSize: 64(KiB) Throughput: 6.418856 GiB/sec, Avg_Latency: 152.162123 usecs ops: 513563 total_time 4.883331 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32064640/33554432(KiB) IOSize: 128(KiB) Throughput: 9.898620 GiB/sec, Avg_Latency: 197.416378 usecs ops: 250505 total_time 3.089241 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32432128/33554432(KiB) IOSize: 256(KiB) Throughput: 12.751671 GiB/sec, Avg_Latency: 306.480593 usecs ops: 126688 total_time 2.425540 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32919552/33554432(KiB) IOSize: 512(KiB) Throughput: 14.937038 GiB/sec, Avg_Latency: 522.996300 usecs ops: 64296 total_time 2.101791 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32877568/33554432(KiB) IOSize: 1024(KiB) Throughput: 18.568292 GiB/sec, Avg_Latency: 841.053781 usecs ops: 32107 total_time 1.688604 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32868352/33554432(KiB) IOSize: 2048(KiB) Throughput: 18.431807 GiB/sec, Avg_Latency: 1693.847152 usecs ops: 16049 total_time 1.700631 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 31928320/33554432(KiB) IOSize: 4096(KiB) Throughput: 17.954057 GiB/sec, Avg_Latency: 3475.658621 usecs ops: 7795 total_time 1.695952 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32587776/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.959127 GiB/sec, Avg_Latency: 6932.579103 usecs ops: 3978 total_time 1.730492 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 33112064/33554432(KiB) IOSize: 16384(KiB) Throughput: 18.227617 GiB/sec, Avg_Latency: 13630.451905 usecs ops: 2021 total_time 1.732433 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32800768/33554432(KiB) IOSize: 32768(KiB) Throughput: 18.064241 GiB/sec, Avg_Latency: 27252.290834 usecs ops: 1001 total_time 1.731667 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32571392/33554432(KiB) IOSize: 65536(KiB) Throughput: 17.917906 GiB/sec, Avg_Latency: 54499.526210 usecs ops: 497 total_time 1.733601 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32260032/33554432(KiB) IOSize: 64(KiB) Throughput: 9.761067 GiB/sec, Avg_Latency: 199.818273 usecs ops: 504063 total_time 3.151865 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32283520/33554432(KiB) IOSize: 128(KiB) Throughput: 14.908733 GiB/sec, Avg_Latency: 262.050356 usecs ops: 252215 total_time 2.065096 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32440576/33554432(KiB) IOSize: 256(KiB) Throughput: 13.849406 GiB/sec, Avg_Latency: 564.131326 usecs ops: 126721 total_time 2.233868 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32303104/33554432(KiB) IOSize: 512(KiB) Throughput: 14.314575 GiB/sec, Avg_Latency: 1091.516383 usecs ops: 63092 total_time 2.152117 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32116736/33554432(KiB) IOSize: 1024(KiB) Throughput: 17.219769 GiB/sec, Avg_Latency: 1813.686953 usecs ops: 31364 total_time 1.778706 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 31846400/33554432(KiB) IOSize: 2048(KiB) Throughput: 17.480491 GiB/sec, Avg_Latency: 3565.126067 usecs ops: 15550 total_time 1.737428 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32518144/33554432(KiB) IOSize: 4096(KiB) Throughput: 17.582642 GiB/sec, Avg_Latency: 7085.119534 usecs ops: 7939 total_time 1.763769 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32661504/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.914188 GiB/sec, Avg_Latency: 13878.128681 usecs ops: 3987 total_time 1.738758 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 26935296/33554432(KiB) IOSize: 16384(KiB) Throughput: 17.951562 GiB/sec, Avg_Latency: 27864.103450 usecs ops: 1644 total_time 1.430934 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 25526272/33554432(KiB) IOSize: 32768(KiB) Throughput: 18.072421 GiB/sec, Avg_Latency: 56758.675301 usecs ops: 779 total_time 1.347011 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 25034752/33554432(KiB) IOSize: 65536(KiB) Throughput: 17.658527 GiB/sec, Avg_Latency: 112072.535049 usecs ops: 382 total_time 1.352038 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 64(KiB) Throughput: 0.107174 GiB/sec, Avg_Latency: 569.475840 usecs ops: 524288 total_time 298.578931 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 128(KiB) Throughput: 0.207586 GiB/sec, Avg_Latency: 587.974106 usecs ops: 262144 total_time 154.153105 secs
